"ipl_edition","match_date","home_team","away_team","match_number_total","match_number_season"
7,2014-05-27,"Kings XI Punjab","Kolkata Knight Riders",455,57
7,2014-05-28,"Chennai Super Kings","Mumbai Indians",456,58
7,2014-05-30,"Chennai Super Kings","Kings XI Punjab",457,59
7,2014-06-01,"Kolkata Knight Riders","Kings XI Punjab",458,60
8,2015-04-08,"Kolkata Knight Riders","Mumbai Indians",459,1
8,2015-04-09,"Chennai Super Kings","Delhi Daredevils",460,2
8,2015-04-10,"Kings XI Punjab","Rajasthan Royals",461,3
8,2015-04-11,"Chennai Super Kings","Sunrisers Hyderabad",462,4
8,2015-04-11,"Kolkata Knight Riders","Royal Challengers Bangalore",463,5
8,2015-04-12,"Delhi Daredevils","Rajasthan Royals",464,6
8,2015-04-12,"Mumbai Indians","Kings XI Punjab",465,7
8,2015-04-13,"Royal Challengers Bangalore","Sunrisers Hyderabad",466,8
8,2015-04-14,"Rajasthan Royals","Mumbai Indians",467,9
8,2015-04-30,"Kolkata Knight Riders","Chennai Super Kings",487,29
8,2015-04-15,"Kings XI Punjab","Delhi Daredevils",468,10
8,2015-04-16,"Sunrisers Hyderabad","Rajasthan Royals",469,11
8,2015-04-17,"Mumbai Indians","Chennai Super Kings",470,12
8,2015-04-18,"Sunrisers Hyderabad","Delhi Daredevils",471,13
8,2015-04-18,"Kings XI Punjab","Kolkata Knight Riders",472,14
8,2015-04-19,"Rajasthan Royals","Chennai Super Kings",473,15
8,2015-04-19,"Royal Challengers Bangalore","Mumbai Indians",474,16
8,2015-04-20,"Delhi Daredevils","Kolkata Knight Riders",475,17
8,2015-04-21,"Rajasthan Royals","Kings XI Punjab",476,18
8,2015-04-22,"Sunrisers Hyderabad","Kolkata Knight Riders",477,19
8,2015-04-22,"Royal Challengers Bangalore","Chennai Super Kings",478,20
8,2015-04-23,"Delhi Daredevils","Mumbai Indians",479,21
8,2015-04-24,"Rajasthan Royals","Royal Challengers Bangalore",480,22
8,2015-04-25,"Mumbai Indians","Sunrisers Hyderabad",481,23
8,2015-04-25,"Chennai Super Kings","Kings XI Punjab",482,24
8,2015-04-26,"Delhi Daredevils","Royal Challengers Bangalore",483,25
8,2015-04-27,"Kings XI Punjab","Sunrisers Hyderabad",484,26
8,2015-05-07,"Kolkata Knight Riders","Delhi Daredevils",498,40
8,2015-04-29,"Royal Challengers Bangalore","Rajasthan Royals",486,28
8,2015-04-28,"Chennai Super Kings","Kolkata Knight Riders",485,27
8,2015-05-01,"Delhi Daredevils","Kings XI Punjab",488,30
8,2015-05-01,"Mumbai Indians","Rajasthan Royals",489,31
8,2015-05-02,"Royal Challengers Bangalore","Kolkata Knight Riders",490,32
8,2015-05-02,"Sunrisers Hyderabad","Chennai Super Kings",491,33
8,2015-05-03,"Kings XI Punjab","Mumbai Indians",492,34
8,2015-05-03,"Rajasthan Royals","Delhi Daredevils",493,35
8,2015-05-04,"Chennai Super Kings","Royal Challengers Bangalore",494,36
8,2015-05-04,"Kolkata Knight Riders","Sunrisers Hyderabad",495,37
8,2015-05-05,"Mumbai Indians","Delhi Daredevils",496,38
8,2015-05-06,"Royal Challengers Bangalore","Kings XI Punjab",497,39
8,2015-05-07,"Rajasthan Royals","Sunrisers Hyderabad",499,41
8,2015-05-08,"Chennai Super Kings","Mumbai Indians",500,42
8,2015-05-09,"Kolkata Knight Riders","Kings XI Punjab",501,43
8,2015-05-09,"Delhi Daredevils","Sunrisers Hyderabad",502,44
8,2015-05-10,"Mumbai Indians","Royal Challengers Bangalore",503,45
8,2015-05-10,"Chennai Super Kings","Rajasthan Royals",504,46
8,2015-05-11,"Sunrisers Hyderabad","Kings XI Punjab",505,47
8,2015-05-12,"Delhi Daredevils","Chennai Super Kings",506,48
8,2015-05-13,"Kings XI Punjab","Royal Challengers Bangalore",507,49
8,2015-05-14,"Mumbai Indians","Kolkata Knight Riders",508,50
8,2015-05-15,"Sunrisers Hyderabad","Royal Challengers Bangalore",509,51
8,2015-05-16,"Kings XI Punjab","Chennai Super Kings",510,52
8,2015-05-16,"Rajasthan Royals","Kolkata Knight Riders",511,53
8,2015-05-17,"Royal Challengers Bangalore","Delhi Daredevils",512,54
8,2015-05-17,"Sunrisers Hyderabad","Mumbai Indians",513,55
8,2015-05-19,"Chennai Super Kings","Mumbai Indians",514,56
8,2015-05-20,"Royal Challengers Bangalore","Rajasthan Royals",515,57
8,2015-05-22,"Chennai Super Kings","Royal Challengers Bangalore",516,58
8,2015-05-24,"Mumbai Indians","Chennai Super Kings",517,59
9,2016-04-09,"Mumbai Indians","Rising Pune Supergiants",518,1
9,2016-04-10,"Kolkata Knight Riders","Delhi Daredevils",519,2
9,2016-04-11,"Kings XI Punjab","Gujarat Lions",520,3
9,2016-04-12,"Royal Challengers Bangalore","Sunrisers Hyderabad",521,4
9,2016-04-13,"Kolkata Knight Riders","Mumbai Indians",522,5
9,2016-04-14,"Gujarat Lions","Rising Pune Supergiants",523,6
9,2016-04-15,"Delhi Daredevils","Kings XI Punjab",524,7
9,2016-04-16,"Sunrisers Hyderabad","Kolkata Knight Riders",525,8
9,2016-04-16,"Mumbai Indians","Gujarat Lions",526,9
9,2016-04-17,"Kings XI Punjab","Rising Pune Supergiants",527,10
9,2016-04-17,"Royal Challengers Bangalore","Delhi Daredevils",528,11
9,2016-04-18,"Sunrisers Hyderabad","Mumbai Indians",529,12
9,2016-04-19,"Kings XI Punjab","Kolkata Knight Riders",530,13
9,2016-04-20,"Mumbai Indians","Royal Challengers Bangalore",531,14
9,2016-04-21,"Gujarat Lions","Sunrisers Hyderabad",532,15
9,2016-04-22,"Rising Pune Supergiants","Royal Challengers Bangalore",533,16
9,2016-04-23,"Delhi Daredevils","Mumbai Indians",534,17
9,2016-04-23,"Sunrisers Hyderabad","Kings XI Punjab",535,18
9,2016-04-24,"Gujarat Lions","Royal Challengers Bangalore",536,19
9,2016-04-24,"Rising Pune Supergiants","Kolkata Knight Riders",537,20
9,2016-04-25,"Kings XI Punjab","Mumbai Indians",538,21
9,2016-04-26,"Sunrisers Hyderabad","Rising Pune Supergiants",539,22
9,2016-04-27,"Delhi Daredevils","Gujarat Lions",540,23
9,2016-04-28,"Mumbai Indians","Kolkata Knight Riders",541,24
9,2016-04-29,"Rising Pune Supergiants","Gujarat Lions",542,25
9,2016-04-30,"Delhi Daredevils","Kolkata Knight Riders",543,26
9,2016-04-30,"Sunrisers Hyderabad","Royal Challengers Bangalore",544,27
9,2016-05-01,"Gujarat Lions","Kings XI Punjab",545,28
9,2016-05-01,"Rising Pune Supergiants","Mumbai Indians",546,29
9,2016-05-02,"Royal Challengers Bangalore","Kolkata Knight Riders",547,30
9,2016-05-03,"Gujarat Lions","Delhi Daredevils",548,31
9,2016-05-04,"Kolkata Knight Riders","Kings XI Punjab",549,32
9,2016-05-05,"Delhi Daredevils","Rising Pune Supergiants",550,33
9,2016-05-06,"Sunrisers Hyderabad","Gujarat Lions",551,34
9,2016-05-07,"Royal Challengers Bangalore","Rising Pune Supergiants",552,35
9,2016-05-07,"Kings XI Punjab","Delhi Daredevils",553,36
9,2016-05-08,"Mumbai Indians","Sunrisers Hyderabad",554,37
9,2016-05-08,"Kolkata Knight Riders","Gujarat Lions",555,38
9,2016-05-09,"Kings XI Punjab","Royal Challengers Bangalore",556,39
9,2016-05-10,"Rising Pune Supergiants","Sunrisers Hyderabad",557,40
9,2016-05-11,"Royal Challengers Bangalore","Mumbai Indians",558,41
9,2016-05-12,"Sunrisers Hyderabad","Delhi Daredevils",559,42
9,2016-05-13,"Mumbai Indians","Kings XI Punjab",560,43
9,2016-05-14,"Royal Challengers Bangalore","Gujarat Lions",561,44
9,2016-05-14,"Kolkata Knight Riders","Rising Pune Supergiants",562,45
9,2016-05-15,"Kings XI Punjab","Sunrisers Hyderabad",563,46
9,2016-05-15,"Mumbai Indians","Delhi Daredevils",564,47
9,2016-05-16,"Kolkata Knight Riders","Royal Challengers Bangalore",565,48
9,2016-05-17,"Rising Pune Supergiants","Delhi Daredevils",566,49
9,2016-05-18,"Royal Challengers Bangalore","Kings XI Punjab",567,50
9,2016-05-19,"Gujarat Lions","Kolkata Knight Riders",568,51
9,2016-05-20,"Delhi Daredevils","Sunrisers Hyderabad",569,52
9,2016-05-21,"Rising Pune Supergiants","Kings XI Punjab",570,53
9,2016-05-21,"Gujarat Lions","Mumbai Indians",571,54
9,2016-05-22,"Kolkata Knight Riders","Sunrisers Hyderabad",572,55
9,2016-05-22,"Delhi Daredevils","Royal Challengers Bangalore",573,56
9,2016-05-24,"Gujarat Lions","Royal Challengers Bangalore",574,57
9,2016-05-25,"Sunrisers Hyderabad","Kolkata Knight Riders",575,58
9,2016-05-27,"Gujarat Lions","Sunrisers Hyderabad",576,59
