Team,Player,Role,Batting Hand,Bowling Hand,Bowling Style,Foreign Player,Is Captain
Kings XI Punjab,DJG Sammy,All-rounder,Right-handed,Right-arm,Medium Pace,1,0
Kings XI Punjab,Rinku Singh, , ,,,0,0
Kings XI Punjab,T Natarajan,Bowler, ,,,0,0
Kolkata Knight Riders,G Gambhir,Batsman,Left-handed,Right-arm,Leg Spin,0,1
Kolkata Knight Riders,SP Narine,Bowler,Left-handed,Right-arm,Off Spin,1,0
Kolkata Knight Riders,AD Russell,All-rounder,Right-handed,Right-arm,Fast,1,0
Kolkata Knight Riders,Kuldeep Yadav,Bowler,Left-handed,Left-arm,Chinaman,0,0
Kolkata Knight Riders,MK Pandey,Batsman,Right-handed,Right-arm,Off Spin,0,0
Kolkata Knight Riders,SA Yadav,Batsman,Right-handed,Right-arm,Medium Pace,0,0
Kolkata Knight Riders,PP Chawla,Bowler,Right-handed,Right-arm,Leg Spin,0,0
Kolkata Knight Riders,RV Uthappa,Batsman,Right-handed,Right-arm,Medium Pace,0,0
Kolkata Knight Riders,Shakib Al Hasan,All-rounder,Left-handed,Left-arm,Orthodox Spin,1,0
Kolkata Knight Riders,CA Lynn,Batsman,Right-handed,Left-arm,Orthodox Spin,1,0
Kolkata Knight Riders,UT Yadav,Bowler,Right-handed,Right-arm,Fast,0,0
Kolkata Knight Riders,YK Pathan,All-rounder,Right-handed,Right-arm,Off Spin,0,0
Kolkata Knight Riders,Sheldon Jackson,Wicketkeeper batsman,Right-handed,,,0,0
Kolkata Knight Riders,AS Rajpoot,Bowler,Right-handed,Right-arm,Medium Pace,0,0
Kolkata Knight Riders,TA Boult,Bowler,Right-handed,Left-arm,Medium Fast,1,0
Kolkata Knight Riders,NM Coulter-Nile,Bowler,Right-handed,Right-arm,Fast,1,0
Kolkata Knight Riders,Darren Bravo,Batsman, ,,,1,0
Kolkata Knight Riders,R Dhawan,All-rounder,Right-handed,Right-arm,Medium Pace,0,0
Kolkata Knight Riders,Chris Woakes,All-rounder, ,,,1,0
Kolkata Knight Riders,Rovman Powell, , ,,,1,0
Kolkata Knight Riders,IR Jaggi,Batsman,Right-handed,Right-arm,Leg Spin,0,0
Kolkata Knight Riders,Sayan Ghosh, , ,,,0,0
Kolkata Knight Riders,R Sanjay Yadav, , ,,,0,0
Mumbai Indians,RG Sharma,Batsman,Right-handed,Right-arm,Off Spin,0,1
Mumbai Indians,KA Pollard,All-rounder,Right-handed,Right-arm,Medium Pace,1,0
Mumbai Indians,SL Malinga,Bowler,Right-handed,Right-arm,Fast,1,0
