"x"
"BMAJ Mendis"
"R Rampaul"
"CH Morris"
"SV Samson"
"SMSM Senanayake"
"BJ Rohrer"
"KL Rahul"
"Q de Kock"
"R Dhawan"
"MG Johnson"
"LJ Wright"
"IC Pandey"
"X Thalaivan Sargunam"
"DJG Sammy"
"KW Richardson"
"MM Sharma"
"CM Gautam"
"UA Birla"
"Parvez Rasool"
"Sandeep Sharma (1)"
"S Kaul"
"Sachin Baby"
"PV Tambe"
"NM Coulter-Nile"
"CJ Anderson"
"NJ Maddinson"
"AR Patel"
"JJ Bumrah"
"JDS Neesham"
"TG Southee"
"MA Starc"
"Sandeep Sharma"
"BR Dunk"
"RR Rossouw"
"Shivam Sharma"
"YS Chahal"
"LMP Simmons"
"VH Zol"
"BCJ Cutting"
"Imran Tahir"
"BE Hendricks"
"S Gopal"
"M de Lange"
"R Tewatia"
"JO Holder"
"Karanveer Singh"
"SS Iyer"
"DJ Hooda"
"Anureet Singh"
"KS Williamson"
"SA Abbott"
"J Suchith"
"HH Pandya"
"D Wiese"
"SN Khan"
"MJ McClenaghan"
"DJ Muthuswami"
"PJ Cummins"
"RG More"
"SN Thakur"
"JC Buttler"
"CR Brathwaite"
"MP Stoinis"
"Ishan Kishan"
"C Munro"
"P Sahu"
"KH Pandya"
"AD Nath"
"MJ Guptill"
"KJ Abbott"
"TM Head"
"M Ashwin"
"NS Naik"
"RR Pant"
"SW Billings"
"KC Cariappa"
"PSP Handscomb"
"Swapnil Singh"
"J Yadav"
"UT Khawaja"
"HM Amla"
"F Behardien"
"BB Sran"
"A Zampa"
"N Rana"
"S Kaushik"
"ER Dwivedi"
"A Nel"
"C Ganapathy"
"TP Sudhindra"
"BW Hilfenhaus"
"P Amarnath"
"B Geeves"
"Gagandeep Singh"
"AM Salvi"
"RR Bose"
"SS Sarkar"
"RA Shaikh"
"MB Parmar"
"AA Kazi"
"Anand Rajan"
"P Prasanth"
"SS Mundhe"
"RW Price"
"S Badree"
"P Suyal"
"MG Neser"
"V Shankar"
"K Santokie"
"JW Hastings"
"TA Boult"
"GS Sandhu"
"Mustafizur Rahman"
"AF Milne"
"Kuldeep Yadav"
"T Shamsi"
"SM Boland"
"CJ Jordan"
"DL Chahar"
