day,date,time,match_no,match,city,home_team,away_team
Sunday,15.5.16,4.00 PM,46,Mumbai Indians vs Delhi Daredevils,Mumbai,Mumbai Indians,Delhi Daredevils
Sunday,15.5.16,8.00 PM,47,Kings XI Punjab vs Sunrisers Hyderabad,Nagpur,Kings XI Punjab,Sunrisers Hyderabad
Monday,16.5.16,8.00 PM,48,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore
Tuesday,17.5.16,8.00 PM,49,Rising Pune Supergiants vs Delhi Daredevils,Pune,Rising Pune Supergiants,Delhi Daredevils
Wednesday,18.5.16,8.00 PM,50,Royal Challengers Bangalore vs Kings XI Punjab,Bengaluru,Royal Challengers Bangalore,Kings XI Punjab
Thursday,19.5.16,8.00 PM,51,Gujarat Lions vs Kolkata Knight Riders,Rajkot/Kanpur,Gujarat Lions,Kolkata Knight Riders
Friday,20.5.16,8.00 PM,52,Delhi Daredevils vs Sunrisers Hyderabad,Raipur,Delhi Daredevils,Sunrisers Hyderabad
Saturday,21.5.16,4.00 PM,53,Rising Pune Supergiants vs Kings XI Punjab,Pune,Rising Pune Supergiants,Kings XI Punjab
Saturday,21.5.16,8.00 PM,54,Gujarat Lions vs Mumbai Indians,Rajkot/Kanpur,Gujarat Lions,Mumbai Indians
Sunday,22.5.16,4.00 PM,55,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad
Sunday,22.5.16,8.00 PM,56,Delhi Daredevils vs Royal Challengers Bangalore,Raipur,Delhi Daredevils,Royal Challengers Bangalore
Tuesday,24.5.16,8.00 PM,57,Qualifier 1,Bengaluru,-,-
Wednesday,25.5.16,8.00 PM,58,Eliminator,Pune,-,-
Friday,27.5.16,8.00 PM,59,Qualifier 2,Pune,-,-
Sunday,29.5.16,8.00 PM,60,FINAL,Mumbai,-,-
,,,,,,,
,,,,,,,
